Row Labels,Sum of LG,Sum of Nokia,Sum of BBK,Sum of Sony,Sum of Infinix,Sum of Lenovo,Sum of Huawei,Sum of Unknown,Sum of Asus,Sum of Vivo,Sum of Realme,Sum of Apple,Sum of Xiaomi,Sum of Mobicel,Sum of Oppo,Sum of Samsung
2020-02,0.3,0.56,0.66,0.73,0.38,0.99,1.12,2.92,3.3,0,3.42,7.06,20.61,11.05,20.58,24.73
2020-03,0.28,0.47,0.65,0.68,0.42,0.95,1.09,2.92,3.2,0,3.63,7.16,20.26,11.27,20.71,24.76
2020-04,0.27,0.5,0.64,0.66,0.43,0.92,1.08,2.39,3.16,0,3.67,7.76,20.15,11.18,20.67,25.01
2020-05,0.25,0.51,0.6,0.63,0.47,0.83,1.05,2.88,2.97,0,3.72,7.86,19.8,11.4,20.62,24.91
2020-06,0.23,0.46,0.55,0.62,0.49,0.76,1,3.37,2.84,0,3.96,7.5,19.83,11.94,20.55,24.38
2020-07,0.22,0.46,0.53,0.62,0.53,0.76,0.99,3.05,2.79,0,4.2,7.25,20.2,12.36,20.41,24.24
2020-08,0.21,0.45,0.53,0.6,0.59,0.72,0.98,1.89,2.7,0,4.55,7.63,20.07,12.88,20.68,24.19
2020-09,0.19,0.42,0.49,0.54,0.74,0.6,0.91,1.54,2.46,0,5.32,7.93,19.78,13.25,21.4,23.26
2020-10,0.18,0.42,0.46,0.53,0.87,0.57,0.92,2.2,2.45,0.02,5.68,8.27,20.31,10.24,22.12,23.73
2020-11,0.2,0.44,0.43,0.55,1.03,0.62,1.01,4.19,2.49,0.09,6.3,8.71,21.77,0,24.89,26.19
2020-12,0.17,0.41,0.36,0.49,0.98,0.53,0.88,1.68,2.22,12.33,6.09,7.5,19.95,0,22.11,23.33
2021-01,0.16,0.38,0.35,0.48,1.08,0.53,0.88,1.78,2.15,12.52,6.16,7.37,19.61,0,22.11,23.41
2021-02,0.15,0.38,0.33,0.46,1.09,0.5,0.85,1.66,2.08,12.53,6.33,7.75,19.72,0,22.09,23.08
Grand Total,2.81,5.86,6.58,7.59,9.1,9.28,12.76,32.47,34.81,37.49,63.03,99.75,262.06,105.57,278.94,315.22
